idx,cap,R0_mOhm,rmse,rise,railed,pass_,c1,c2,R_end_mOhm
468,1.3705128024895008,169.11175531996193,0.2619850518779,16.718211742594974,False,True,-1.2767395101289631,2.361598285029771,352.574127017701
472,1.3705085566270399,170.40880928715615,0.2677278267668938,16.795206377160184,False,True,-1.294779934527489,2.380008887812183,355.3413830203476
476,1.3647355108681518,169.49632311275744,0.26073800313393064,16.802633263573625,False,True,-1.290337124216869,2.3829434767351585,354.6890824742487
480,1.375392016895762,174.7016659649293,0.2799969258681645,16.39838980176546,False,True,-1.2311478728880187,2.278263265216436,357.63446946222433
482,1.3861115151535393,178.94358865829645,0.287120778102178,16.40571541605044,False,True,-1.249968025598016,2.249574485062539,357.8167557608922
484,1.3698500035838939,177.05804856332907,0.2760492354555783,16.58142599716399,False,True,-1.2548404015588202,2.281824290536502,358.893811851696
488,1.3647827949260758,174.54181763051852,0.27249268462922493,16.824088857785966,False,True,-1.2725806009490888,2.3413565347630714,361.0879117581658
492,1.3543220466259964,170.57708363052987,0.25492502914719106,16.834078143384943,False,True,-1.2569320209771528,2.340653098179781,355.43506444869047
496,1.3546417018378962,176.1268805835866,0.2793793013728037,16.852627247164662,False,True,-1.257994690958225,2.3247777244283805,364.016048528181
500,1.3547039213192407,179.07569705898464,0.2872404139800667,16.802419719130285,False,True,-1.257069824738338,2.3096470138007357,367.5666908987202
504,1.349314997503458,176.33070304436444,0.2719498510729986,16.869926269320445,False,True,-1.2720566453779414,2.341588568246916,364.9220189322417
508,1.3441891937970554,172.0999629981893,0.26176438699757826,16.992861173350605,False,True,-1.2710779371845995,2.3711883704309313,361.428927853805
512,1.3389913790695755,171.09070131354974,0.25536385582493143,17.119459396598074,False,True,-1.2821508178306837,2.39387449023106,361.2962840914052
516,1.3389145230206971,175.035602110314,0.27084394921582333,17.115526795728215,False,True,-1.2627455849614033,2.3615277089705056,367.3615927742969
520,1.3340066759761655,175.79199256992752,0.26007317964243865,16.941078753200088,False,True,-1.2511670655612661,2.3269486287870875,364.90577713938615
524,1.3286444309174914,172.10258773103493,0.2530435141152722,17.033092779215053,False,True,-1.255455664222071,2.3616697707849545,362.484898055082
528,1.3231708992276219,168.52866194033336,0.23874543626253275,17.143683343394855,False,True,-1.245960699411041,2.375028248053863,358.8089051533604
532,1.3181691588445197,167.60560693709076,0.23155561440716013,17.214946633808836,False,True,-1.2262927173379525,2.3607118185939213,357.7406089241264
536,1.3184664436640334,172.86549126475845,0.2506061790790546,17.181400036546393,False,True,-1.2311409591941125,2.350005252790705,366.2785170359304
540,1.318293040102702,173.30713932816795,0.2531137173719728,17.17649036664841,False,True,-1.2558548232789888,2.3703602091565528,366.4588795204445
544,1.323872422244268,165.14724973525637,0.23494980647116934,17.06748837397123,False,True,-1.2047016436131102,2.3451762976651667,353.4935022447214
547,1.3601216766554785,173.8234001439146,0.27403788280138536,16.80901297546484,False,True,-1.2795689347180559,2.3464638194085676,359.27469659696897
551,1.3395306867947354,173.39929471347517,0.2598087320548969,16.87883115726794,False,True,-1.2372858269801041,2.313843663728978,360.0736643239945
555,1.3290286565120697,170.5784568799037,0.2422114816093623,16.880907780114512,False,True,-1.2180614423482625,2.311791612420186,357.1452615337671
559,1.3236741274998955,170.42406779781948,0.23694658946452885,16.976331560766255,False,True,-1.2261630522593112,2.3233692649847666,357.4144137835312
563,1.318633896753293,169.2543471147617,0.23553343406017035,17.052224205928894,False,True,-1.2134777069375824,2.3273900904993043,357.788860337549
567,1.3134751321324272,168.58460056197146,0.22999038087608717,17.07388471100313,False,True,-1.1969085078337454,2.3164454007997852,357.32128047704185
571,1.3132020634442203,169.33902888998276,0.23623818615002176,17.132405032087604,False,True,-1.2143453739581627,2.3388870144838445,359.76781824294983
575,1.3077959946944353,168.5450242933913,0.2300063505962086,17.144633756028952,False,True,-1.1998688935963007,2.326775252419253,358.479483917583
579,1.3030329186405918,168.0618481330164,0.22781399390182397,17.13659517396377,False,True,-1.1874709691730503,2.319583542349436,358.3267794756646
583,1.3033573559038205,169.15414718913772,0.23287304518543478,17.193506729456942,False,True,-1.1983286763326577,2.336967958734624,361.75970395989407
587,1.3034100438655642,170.87441155163674,0.24072479281182094,17.283869942518606,False,True,-1.2199892705672408,2.3582919685363883,365.38121523475536
591,1.2978870806495706,170.53220943302819,0.2309584707880175,17.187167414624014,False,True,-1.178014103213689,2.304279373439845,362.5967143723811
595,1.2980735056918902,169.8285654098427,0.2355759852388742,17.310870963134107,False,True,-1.2031610556924193,2.3522057387452517,364.96917552451265
599,1.293463613844243,169.94546098210503,0.22831491359080341,17.24223911400344,False,True,-1.1859901842715752,2.3211970331444487,362.8687122238484
603,1.288003392619118,170.71411540393365,0.22362670610770444,17.178363908631184,False,True,-1.172280080590167,2.297665693070165,362.83332472677057
607,1.2874525221379407,171.0415701211807,0.22746159856156806,17.214629087918524,False,True,-1.1669845786152504,2.2986689265791918,364.6066378784978
611,1.3090153642307354,172.38764845474591,0.25477462680081936,16.11292476588295,False,True,-1.1796404463019254,2.275596105015122,361.316867270986
613,1.3250793286429356,183.07604057869398,0.24272483755085106,15.957710564427941,False,True,-1.2482508334654518,2.1785855021210634,353.3980281292545
