idx,cap,R_mOhm,h,R_over_h,rmse,rise,tau_frac,railed,pass_
406,1.42806487344776,98.13076201678423,8.660904591199898,11.330313246550729,0.7883831101666048,16.33969297558832,1.0345515272263002,False,False
410,1.4229203181741186,97.70804669249766,8.600997898916399,11.360082613763627,0.7857968455405118,16.35075610745764,1.0242193403453632,False,False
414,1.417429032731308,97.5113915684087,8.576564889490648,11.36951598044748,0.7932296814769845,16.453794392544637,1.0180933503145573,False,False
418,1.412409228794446,97.41402653046265,8.536878084690237,11.410966112443592,0.7945859178599246,16.579459605000636,1.010326586659325,False,False
422,1.412578792940193,98.02400903917719,8.399214633267082,11.670616041996336,0.7946919316202794,16.623953608285717,0.9938066137232131,False,False
426,1.4075983731469897,99.91462071651267,8.673274979411575,11.519826242530964,0.7846110492783709,16.407221824842964,1.0265565613258096,False,False
430,1.4333920485221476,93.38337108239175,7.827203704775783,11.930617191604929,0.7716659001350905,16.007544851372757,0.931684232629669,False,False
432,1.4382550176792908,96.31914721078157,8.296290875120746,11.609904794879762,0.7781442043910316,16.150014695181937,0.9906736691468733,False,False
436,1.4173547174485526,97.44191708280263,8.634135402925189,11.285660061549411,0.7765115537453787,16.169978705118012,1.0248021015360853,False,False
440,1.406981663677643,97.93844296547958,8.819247522365263,11.10507928449809,0.7819417310222796,16.312234344673243,1.0437278341137213,False,False
444,1.4012037783587625,98.1723537603149,8.752353715150933,11.216680330271815,0.7881769653526048,16.46984198103229,1.0320262736748933,False,False
448,1.3967008232726328,98.62775186194831,8.790238662896966,11.220144940802317,0.7950761459931623,16.53174367696448,1.0370038113450715,False,False
452,1.391284788852726,98.51136895557865,8.626094781857406,11.42015842009642,0.7906824450794302,16.559595123386828,1.0108814173488656,False,False
456,1.3862287677978349,99.37109150819126,8.809745957221871,11.279677301787673,0.7963682692530214,16.614737295186842,1.0327424919852368,False,False
460,1.3804366761974138,99.80880232672556,8.959207855569481,11.140360167520784,0.8030014475579622,16.624455012830424,1.050195448924285,False,False
464,1.3752364150256224,100.16729453275114,9.00477498936439,11.1237976130508,0.7999041946656923,16.634933596517783,1.0520633353634605,False,False
468,1.3705128024895008,100.50061348355369,8.921696857519578,11.264742020330763,0.7993737056551115,16.718211742594974,1.0392086222514885,False,False
472,1.3705085566270399,100.58857822830706,8.845947164940185,11.371148431337847,0.8079209050434156,16.795206377160184,1.0305135293947987,False,False
476,1.3647355108681518,101.21381471577347,8.998840838156411,11.247428033909877,0.8128647687245139,16.802633263573625,1.0482173402965236,False,False
480,1.375392016895762,100.5664296327515,8.752600567891252,11.4898913588811,0.7850126741898457,16.39838980176546,1.022606462535198,False,False
482,1.3861115151535393,101.52851384471587,8.966257616008564,11.323399147426292,0.7829633526803725,16.40571541605044,1.0510446427654485,False,False
484,1.3698500035838939,103.33372911305462,9.259214903045203,11.16009620632845,0.7958004769735519,16.58142599716399,1.081814121728506,False,False
488,1.3647827949260758,102.69528273795147,8.999119722246515,11.411703134038861,0.8107008427306629,16.824088857785966,1.0482669149556472,False,False
492,1.3543220466259964,103.47814870494408,9.336744871459544,11.082893463358404,0.8119801084215849,16.834078143384943,1.0839877802476785,False,False
496,1.3546417018378962,104.33214132104243,9.142477518297087,11.411801791389665,0.80550509835784,16.852627247164662,1.0616470223995513,False,False
