idx,cap,R0_mOhm,beta,h,R_end_mOhm,rmse,rise,tau_frac,railed,pass_
359,1.4752095869031632,92.4139087618308,0.7223915570594325,16.687544966359702,159.17293620623806,0.7345421285327505,16.19103513083371,2.0245134022357685,False,False
363,1.4859035988304024,90.99508122766495,0.6801292317244092,15.670920460896376,152.88349591373694,0.7408570396783498,16.24073872765831,1.9071035324533288,False,False
366,1.4960918298136696,95.02441539667406,0.5433083583626442,14.75824946048815,146.651974530211,0.7507280579786415,15.940464447459476,1.8008701728531262,False,False
370,1.4808005946928984,94.73157196743051,0.6011190658677102,15.198654383524602,151.67652601667209,0.7506317472084647,16.147133291223838,1.8435949344604008,False,False
374,1.4697543268466824,94.94112192015778,0.659981239339406,16.03185722933577,157.60048122929717,0.7404191435564155,16.153684531361648,1.938528776800196,False,False
378,1.4539012274845928,94.12297126178207,0.692148146640064,16.290855254810786,159.27001137688055,0.7340304885705468,16.24588810885666,1.951261377596704,False,False
382,1.4541462067235693,95.16475606047469,0.7315513191387963,17.003396345024882,164.7826588920367,0.7318220039627412,16.31656522367706,2.0495962654884288,False,False
386,1.455023751906683,95.83871893579739,0.6584491217617525,15.830980214709362,158.9436392498446,0.7405593062543034,16.3449150549892,1.9031057753488536,False,False
390,1.449042163761236,97.28554761237181,0.6669258131539697,16.07487286980503,162.16779056188213,0.7386686927884151,16.345529219404284,1.9322224510940178,False,False
394,1.4386709371480566,97.18715380294532,0.7433683637024265,17.340810407348823,169.43300929833686,0.7185257061819164,16.25134662972846,2.078269853365594,False,False
398,1.433445432156979,96.5664658496926,0.7584377413187556,17.41105057245889,169.80611809586821,0.7199902001821425,16.379186216446044,2.0797299417916766,False,False
402,1.4333958900838095,98.01747482621282,0.7023468416161993,16.659286962920525,166.8597386935987,0.7330426345415346,16.466972088182104,1.9899225477619527,False,False
406,1.42806487344776,100.12835302983116,0.7014708572269723,16.90863580739932,170.3654746623917,0.7199093962703317,16.33969297558832,2.0197491859721293,False,False
410,1.4229203181741186,99.31315292767316,0.7334670700728646,17.167702925440075,172.15608022523193,0.7132299751420408,16.35075610745764,2.0443550355656597,False,False
414,1.417429032731308,98.30348217828252,0.757113950162297,17.30739256325037,172.73041988499097,0.7192987399299361,16.453794392544637,2.054498684143377,False,False
418,1.412409228794446,97.39651043693144,0.7933145364840813,17.57114471504115,174.66257796937268,0.7168299964508486,16.579459605000636,2.0795183540785827,False,False
422,1.412578792940193,98.78782568914708,0.7445853285974907,16.932335106100822,172.34379134133232,0.7218428728922852,16.623953608285717,2.0034571503354095,False,False
426,1.4075983731469897,101.70269365214325,0.7213070526778546,17.078930195423247,175.06156385976942,0.7074068763626875,16.407221824842964,2.021438025907797,False,False
430,1.4333920485221476,96.44986833216713,0.6981504941581045,16.06479552112886,163.78639156975373,0.7118711074743787,16.007544851372757,1.9122176005618905,False,False
432,1.4382550176792908,99.35795165884318,0.6122684850473404,15.63548934859954,160.19169419840995,0.7281332562369888,16.150014695181937,1.8670593684624783,False,False
436,1.4173547174485526,99.1705380510437,0.7360542687759937,17.27643792608114,172.16543592032653,0.704215082821106,16.169978705118012,2.050573574246631,False,False
440,1.406981663677643,98.07446959425299,0.8039748817414786,18.028208916818066,176.9238796881508,0.698274853097663,16.312234344673243,2.1335769744507327,False,False
444,1.4012037783587625,97.77295675294026,0.8223941917575875,18.092719817000322,178.18086849752413,0.7023715997379767,16.46984198103229,2.133387523068215,False,False
448,1.3967008232726328,97.79396579964543,0.8462921557426564,18.285352179527678,180.55623193485096,0.7014791412547818,16.53174367696448,2.157163261333781,False,False
452,1.391284788852726,97.68930109341828,0.8492397403345628,18.190588711278707,180.65093778745774,0.7010369974700619,16.559595123386828,2.1317326743896734,False,False
456,1.3862287677978349,98.09945387070913,0.8602005791859137,18.436286015529447,182.48466090811496,0.7004833012022554,16.614737295186842,2.161235528820475,False,False
460,1.3804366761974138,97.69231623387684,0.9068367977160422,18.967978377382682,186.28330344886865,0.6959092257002387,16.624455012830424,2.22342029433308,False,False
464,1.3752364150256224,97.64090810384722,0.9237965960860168,19.160030190446168,187.84124664892886,0.6907072789621442,16.634933596517783,2.238541806056637,False,False
468,1.3705128024895008,97.99032693683614,0.9152339742920192,18.982480320560914,187.674403301411,0.6895753218448007,16.718211742594974,2.2110992489303833,False,False
472,1.3705085566270399,98.12586869107197,0.9082638854125624,18.800345959681255,187.2500514479079,0.6996526777770206,16.795206377160184,2.1901567472097123,False,False
476,1.3647355108681518,98.03869296058649,0.9476702523617444,19.277844156221327,190.94704585976106,0.693939559120443,16.802633263573625,2.2455526096653435,False,False
480,1.375392016895762,100.51627105584473,0.8541935813219643,18.403274142329874,186.37662461016603,0.6785810784857221,16.39838980176546,2.150138912861133,False,False
482,1.3861115151535393,102.41906663763426,0.7740298452933909,17.948291576576164,181.69448094225578,0.6938515682853214,16.40571541605044,2.103938623698651,False,False
484,1.3698500035838939,102.48096876063687,0.8432940323202285,18.76106426413126,188.9025581428777,0.6869977877469127,16.58142599716399,2.191976800637623,False,False
488,1.3647827949260758,100.85833723733029,0.8929322238852515,18.866640160701206,190.9179966040283,0.6945182157282581,16.824088857785966,2.197689917153299,False,False
492,1.3543220466259964,99.83051052467032,0.9682725489608497,19.819415236039912,196.49365341445576,0.6811219426957237,16.834078143384943,2.3010164916462466,False,False
496,1.3546417018378962,102.21664862570233,0.884031423867962,18.837472350944054,192.5793780532931,0.6843389674621235,16.852627247164662,2.1874537171012562,False,False
500,1.3547039213192407,103.42631927562421,0.8665233222145888,18.71021892641434,193.04763705876485,0.689915336239898,16.802419719130285,2.1728301974037816,False,False
504,1.349314997503458,102.06523413507537,0.9100228627516016,19.100363255637266,194.94693069008915,0.6909381473857046,16.869926269320445,2.210999398852068,False,False
508,1.3441891937970554,100.23317722054097,0.9684024165211674,19.552330041375367,197.2992282565073,0.6884770781904722,16.992861173350605,2.2555038640331526,False,False
512,1.3389913790695755,100.00103210839501,1.0004192389301743,19.927183073721018,200.04398854250746,0.6893271412501616,17.119459396598074,2.29917422888463,False,False
516,1.3389145230206971,102.10729600284267,0.9528238913518893,19.416217602901657,199.39756711569044,0.6859537364046565,17.115526795728215,2.2401953329107216,False,False
520,1.3340066759761655,103.04838905941475,0.9536287046897286,19.788660536715184,201.3182908385076,0.6787508128352483,16.941078753200088,2.276645017886169,False,False
524,1.3286444309174914,101.12643789091668,1.0250806294864017,20.34213169994307,204.78919050185505,0.679165849167316,17.033092779215053,2.3402574592787846,False,False
528,1.3231708992276219,99.75033513661182,1.079331263758031,20.841721571862752,207.41399041989823,0.6728826999568945,17.143683343394855,2.3892848559212205,False,False
532,1.3181691588445197,99.94145484636805,1.1146337941077844,21.307722556289214,211.33957785042708,0.6637288290761646,17.214946633808836,2.442666519686094,False,False
536,1.3184664436640334,102.36592644991883,1.0431791475787646,20.507398282493288,209.15192634505567,0.6658587282508626,17.181400036546393,2.351941722659856,False,False
540,1.318293040102702,101.8891978860075,1.0302296193740244,20.283337618245724,206.85846744243364,0.6776044119661201,17.17649036664841,2.3178962310762707,False,False
544,1.323872422244268,98.75290530052182,1.1187584256925023,21.279973297624895,209.23355016709436,0.6571821166485032,17.06748837397123,2.440331450973064,False,False
547,1.3601216766554785,100.448853451708,0.8761825349527183,18.66557561109105,188.46038450211964,0.6954659243081207,16.80901297546484,2.160340146263598,False,False
551,1.3395306867947354,102.00599502308275,0.9453601983602272,19.69162088966043,198.4384027120366,0.6732587919000277,16.87883115726794,2.2646477892573964,False,False
555,1.3290286565120697,101.3314327039882,1.0204999581474825,20.56201095260488,204.74015553743257,0.662181987595946,16.880907780114512,2.3577515014607324,False,False
559,1.3236741274998955,101.39948961608812,1.0489064035042173,20.93181266881473,207.75806358646236,0.6640273579668619,16.976331560766255,2.400313119873638,False,False
563,1.318633896753293,100.98259681365224,1.07806368542212,21.095432061330072,209.8482672980742,0.6608790800862655,17.052224205928894,2.4119903333628474,False,False
567,1.3134751321324272,101.08883645876978,1.1104420520864196,21.491436075446693,213.34213145907455,0.653872697384688,17.07388471100313,2.4570789820196306,False,False
571,1.3132020634442203,100.96338145568927,1.0923331368705391,21.110709212422595,211.2490286302391,0.6621828134070127,17.132405032087604,2.4048611979695003,False,False
575,1.3077959946944353,101.07974307331152,1.1202177057314384,21.524969235120505,214.3110609548198,0.6551756729289667,17.144633756028952,2.452175807312802,False,False
579,1.3030329186405918,101.09783701805537,1.1300155026684895,21.60405774640192,215.33996013471022,0.6484260435341673,17.13659517396377,2.453410916937171,False,False
583,1.3033573559038205,101.26629765764775,1.1228074631881129,21.352582114709396,214.96885243708354,0.6539956385379776,17.193506729456942,2.425554114213081,False,False
587,1.3034100438655642,101.75957096973103,1.0848467667835546,20.843282510702466,212.15311252552542,0.6639546994559744,17.283869942518606,2.360067614553852,False,False
591,1.2978870806495706,102.81238712350685,1.1088649988149017,21.474439621393426,216.81744464937148,0.6480418048887614,17.187167414624014,2.430841491082277,False,False
595,1.2980735056918902,101.58527464477824,1.1281245213169058,21.294778394217158,216.1861139762651,0.6584846700702183,17.310870963134107,2.4108537049990586,False,False
599,1.293463613844243,102.29885541006604,1.1301989665373382,21.58047356654662,217.91691607247526,0.6500919903993453,17.24223911400344,2.4356638002446735,False,False
603,1.288003392619118,103.27126818530999,1.132963722470842,21.831246675285115,220.2738686128234,0.641414975973424,17.178363908631184,2.463967117182816,False,False
607,1.2874525221379407,103.44238947387221,1.1296479101771957,21.694758544536004,220.2958685667675,0.6401779665396364,17.214629087918524,2.4477692046157022,False,False
611,1.3090153642307354,101.03410464844826,1.0248465466821863,20.125752677826956,204.5785578945371,0.6361843779873327,16.11292476588295,2.2784921622349086,False,False
613,1.3250793286429356,108.6191053846098,0.8519060134288635,20.75442538159756,201.15237443502232,0.6799963525924367,15.957710564427941,2.365073688969857,False,False
